Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
UR25,0.191577268,0.058837277,60.5%,4,1,3,UR606,UR416,UR404,UR1838,UR771,UR954,UR4,UR647,UR1097,UR532,UR969,UR132,UR1811,UR1497,UR1544,UR39,UR17,UR1390,UR1936,4,2,1,3,7,2,4,7,4,7,4,2,3,5,6,2,2,5,7,3,3,3,3,0,3,3,1,3,1,3,3,3,3,3,3,3,3,1
UR26,-0.133210491,0.031100656,56.0%,7,4,3,UR22,UR661,UR389,UR1835,UR999,UR156,UR955,UR1002,UR1325,UR1,UR887,UR1618,UR158,UR674,UR402,UR1614,UR1658,UR1763,UR1848,6,0,0,2,6,6,2,3,7,4,2,7,1,7,2,2,1,5,3,3,3,3,3,3,3,3,3,1,3,3,2,3,1,3,3,3,3,3
UR27,-0.351142037,0.065338607,61.2%,4,1,3,UR1872,UR905,UR246,UR417,UR77,UR1234,UR688,UR1604,UR677,UR1423,UR840,UR544,UR1240,UR1579,UR743,UR890,UR1487,UR234,UR1212,4,6,2,5,3,7,4,3,6,2,7,7,4,2,4,1,7,0,7,3,3,3,3,3,2,3,3,3,3,0,2,3,3,3,3,2,3,1
UR28,0.090680563,-0.214385107,50.0%,3,0,3,UR1346,UR1538,UR1310,UR1517,UR41,UR1817,UR1067,UR186,UR1242,UR1229,UR300,UR526,UR882,UR168,UR334,UR1616,UR572,UR1005,UR1729,0,0,5,1,1,3,5,3,2,2,1,3,2,5,2,3,7,6,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2
UR29,0.386413721,0.12187846,50.0%,3,0,3,UR736,UR1311,UR1731,UR447,UR1805,UR1392,UR274,UR115,UR1526,UR1300,UR78,UR738,UR137,UR1462,UR1672,UR968,UR328,UR310,UR229,4,7,7,3,5,4,3,3,0,1,1,3,4,1,5,1,2,2,0,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR30,-0.107951961,-0.141815257,61.0%,5,2,3,UR842,UR1631,UR1257,UR1935,UR1657,UR1715,UR684,UR209,UR1076,UR1902,UR1183,UR505,UR53,UR37,UR723,UR1982,UR1034,UR1957,UR5,5,5,7,6,4,7,5,2,6,6,3,2,1,4,4,4,7,3,0,3,3,2,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,3
UR31,0.028361621,-0.37954498,53.4%,9,6,3,UR159,UR1114,UR1409,UR672,UR820,UR600,UR1452,UR129,UR1842,UR1158,UR460,UR281,UR373,UR1912,UR1466,UR1533,UR1482,UR1179,UR1511,3,7,2,2,1,2,1,3,7,1,1,4,1,3,1,7,3,5,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3
UR32,-0.338114653,-0.341872775,57.4%,5,2,3,UR926,UR793,UR1124,UR1343,UR831,UR1365,UR996,UR238,UR361,UR1510,UR1241,UR1964,UR1291,UR913,UR1223,UR1007,UR12,UR834,UR1154,5,7,0,3,4,5,7,3,3,4,7,7,1,7,0,3,0,0,2,3,2,3,3,3,3,1,3,3,3,2,1,3,1,3,3,3,3,3
UR33,-0.306863606,-0.111717032,61.8%,9,6,3,UR508,UR1308,UR293,UR240,UR1404,UR838,UR323,UR583,UR1494,UR1280,UR1011,UR811,UR340,UR785,UR1937,UR751,UR1488,UR579,UR214,1,7,7,4,7,2,7,1,4,3,3,7,3,6,1,3,5,1,6,3,1,1,3,2,3,1,3,3,3,3,2,3,3,3,3,3,3,3
UR34,-0.328031821,-0.009368599,60.4%,9,7,2,UR110,UR873,UR835,UR1776,UR145,UR854,UR627,UR1929,UR1652,UR7,UR547,UR1829,UR1033,UR556,UR596,UR1341,UR510,UR1253,UR1826,7,7,4,1,7,2,4,4,2,4,2,2,7,6,2,0,3,3,7,1,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2
UR35,0.361514798,-0.0416543,54.0%,6,3,3,UR1150,UR1491,UR434,UR1275,UR1514,UR901,UR1339,UR584,UR1607,UR718,UR1800,UR1588,UR1524,UR816,UR1515,UR1979,UR941,UR1673,UR236,7,6,3,4,3,3,4,7,4,4,3,5,2,1,2,2,0,4,0,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
UR36,-0.122051867,-0.251320181,53.7%,8,5,3,UR338,UR1278,UR160,UR1004,UR13,UR956,UR567,UR847,UR342,UR1786,UR396,UR765,UR231,UR1185,UR663,UR175,UR1978,UR534,UR450,4,2,4,4,1,1,0,2,2,1,3,5,0,7,7,5,7,5,0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,1,3,3
UR37,-0.133465939,-0.14254595,56.5%,7,4,3,UR53,UR602,UR505,UR1902,UR1183,UR471,UR379,UR684,UR1715,UR30,UR1732,UR24,UR1455,UR151,UR1076,UR1657,UR772,UR1140,UR386,1,4,2,6,3,1,1,5,7,2,3,2,6,6,6,4,6,1,4,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3
UR38,0.129989165,-0.016056933,56.2%,8,7,1,UR1035,UR1971,UR384,UR1747,UR1653,UR183,UR1295,UR1994,UR336,UR870,UR1550,UR927,UR1660,UR295,UR263,UR1103,UR1147,UR1932,UR1527,5,2,6,7,2,3,2,7,5,2,5,3,0,2,2,1,0,7,0,3,3,3,0,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3
UR39,0.152584348,0.044887053,51.3%,5,2,3,UR132,UR1544,UR1052,UR54,UR1415,UR981,UR84,UR4,UR771,UR1386,UR606,UR1490,UR25,UR1868,UR1032,UR531,UR336,UR1811,UR263,2,6,2,3,2,3,3,4,7,0,4,4,1,4,2,1,5,3,2,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3
UR40,-0.362677541,0.271551209,59.4%,6,3,3,UR1636,UR1061,UR1269,UR1054,UR855,UR628,UR1222,UR1671,UR801,UR1139,UR907,UR1128,UR921,UR587,UR758,UR1460,UR1120,UR947,UR1975,2,2,7,0,5,0,5,3,3,2,2,6,7,1,7,7,7,3,4,3,3,2,3,3,3,3,3,3,3,3,3,2,3,1,2,0,3,3
UR41,0.103222404,-0.226556056,44.4%,4,1,3,UR1067,UR526,UR1346,UR1538,UR28,UR1310,UR1904,UR1180,UR1817,UR1517,UR1242,UR73,UR756,UR747,UR1616,UR186,UR1005,UR882,UR334,5,3,0,0,0,5,4,1,3,1,2,5,0,2,3,3,6,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR42,-0.186802368,-0.06383431,66.0%,7,4,3,UR1928,UR498,UR9,UR187,UR839,UR1256,UR58,UR1767,UR1216,UR325,UR1184,UR376,UR1323,UR142,UR62,UR687,UR1170,UR826,UR482,7,5,7,4,5,7,1,4,7,6,6,7,7,2,7,1,3,4,1,1,3,2,3,3,1,3,3,1,3,3,2,2,3,1,3,3,3,3
UR43,0.111446634,-0.279947565,54.3%,5,2,3,UR348,UR223,UR571,UR539,UR1860,UR215,UR1469,UR6,UR1324,UR747,UR1180,UR598,UR171,UR1785,UR983,UR589,UR1385,UR526,UR1437,1,1,5,4,5,6,7,0,5,2,1,4,5,5,2,2,7,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3
UR44,-0.280168286,-0.061512012,61.8%,7,4,3,UR843,UR148,UR1473,UR49,UR1081,UR1129,UR751,UR1108,UR1541,UR742,UR63,UR964,UR682,UR1738,UR583,UR1571,UR1165,UR217,UR214,2,7,7,2,3,7,3,7,4,0,4,5,4,3,1,3,7,2,6,3,1,2,3,3,1,3,0,3,3,3,3,3,3,3,3,1,3,3
UR45,0.237580478,0.133875879,48.7%,9,6,3,UR200,UR1939,UR1270,UR740,UR1297,UR1366,UR1030,UR1320,UR972,UR1299,UR436,UR925,UR333,UR1540,UR1134,UR499,UR653,UR74,UR408,7,0,3,5,4,0,0,5,4,5,4,1,1,1,6,3,1,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR46,0.289813257,0.149687591,52.4%,4,1,3,UR1197,UR932,UR1134,UR767,UR1320,UR1592,UR436,UR408,UR972,UR74,UR1789,UR200,UR1047,UR738,UR78,UR740,UR918,UR633,UR1637,1,4,6,2,5,1,4,0,4,0,6,7,6,3,1,5,4,1,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
UR47,-0.201495479,0.081817843,52.9%,9,6,3,UR546,UR852,UR582,UR315,UR1307,UR1088,UR470,UR1425,UR1439,UR1915,UR167,UR314,UR889,UR90,UR248,UR1801,UR1905,UR623,UR1659,2,4,0,0,2,4,2,2,5,2,5,2,7,1,7,3,4,1,5,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,3,3,3,3
UR48,0.054904002,-0.053408369,54.4%,9,6,3,UR1564,UR937,UR1135,UR1074,UR1611,UR1328,UR806,UR692,UR1784,UR489,UR124,UR1105,UR935,UR714,UR1701,UR346,UR1951,UR481,UR1479,4,5,1,6,7,5,3,2,3,7,2,4,2,3,1,4,0,1,2,3,3,3,3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3
UR49,-0.259820067,-0.067218088,57.1%,5,2,3,UR148,UR682,UR742,UR217,UR843,UR1129,UR63,UR1571,UR44,UR1473,UR262,UR1679,UR559,UR1584,UR214,UR752,UR1541,UR751,UR979,7,4,0,2,2,7,4,3,4,7,4,7,0,3,6,2,4,3,1,1,3,3,3,3,1,3,3,3,2,3,2,3,3,3,3,3,3,3
UR50,0.012891664,-0.01746058,48.3%,5,2,3,UR207,UR910,UR1191,UR1623,UR365,UR500,UR1809,UR848,UR1624,UR664,UR630,UR337,UR1701,UR133,UR935,UR307,UR150,UR1334,UR1372,3,2,4,3,0,1,2,2,2,6,2,5,1,6,2,4,5,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR51,0.208645173,-0.133510471,49.5%,6,3,3,UR1990,UR1143,UR797,UR153,UR1260,UR1400,UR1505,UR805,UR1724,UR326,UR776,UR822,UR1326,UR1578,UR1561,UR206,UR288,UR485,UR123,1,2,0,0,4,5,1,2,3,7,4,0,7,0,3,1,2,1,7,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,0
UR52,0.307816056,-0.167209905,45.9%,5,2,3,UR1818,UR1705,UR1036,UR1774,UR1119,UR1783,UR476,UR501,UR493,UR651,UR1867,UR1864,UR1756,UR516,UR1692,UR711,UR1478,UR1086,UR1677,6,1,7,4,1,0,1,0,3,6,1,4,3,3,5,0,0,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR53,-0.132706279,-0.13816143,56.5%,4,1,3,UR37,UR1183,UR602,UR471,UR505,UR1902,UR1715,UR379,UR1732,UR1455,UR684,UR24,UR30,UR151,UR1076,UR1657,UR452,UR1140,UR772,4,3,4,1,2,6,7,1,3,6,5,2,2,6,6,4,4,1,6,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3
UR54,0.131645199,0.046492747,54.3%,6,3,3,UR1415,UR1052,UR39,UR531,UR132,UR1032,UR981,UR1490,UR185,UR1544,UR639,UR1266,UR272,UR588,UR84,UR336,UR927,UR865,UR1309,2,2,2,1,2,2,3,4,4,6,3,7,7,3,3,5,3,5,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3
UR55,-0.320108837,-0.073945335,63.7%,8,5,3,UR579,UR1418,UR785,UR1626,UR1738,UR838,UR1165,UR1108,UR751,UR583,UR60,UR293,UR1341,UR1488,UR964,UR1081,UR850,UR393,UR1308,1,7,6,1,3,2,7,7,3,1,4,7,0,5,5,3,5,7,7,3,2,3,3,3,3,1,0,3,3,3,1,3,3,3,3,3,2,1
UR56,-0.068305873,-0.055451566,63.8%,3,0,3,UR1519,UR902,UR1899,UR1202,UR1130,UR189,UR527,UR616,UR915,UR1816,UR1857,UR846,UR1768,UR1472,UR146,UR14,UR1593,UR824,UR1014,7,3,1,7,4,7,2,7,2,7,7,3,1,3,6,2,7,5,2,1,3,3,2,3,0,3,0,3,2,1,3,3,3,3,3,2,3,3
UR57,-0.096342471,-0.016631475,56.3%,4,1,3,UR871,UR1389,UR621,UR261,UR1593,UR1331,UR1913,UR1486,UR681,UR1927,UR779,UR1768,UR1481,UR520,UR590,UR674,UR1763,UR252,UR1116,7,0,1,1,7,5,1,0,4,7,3,1,3,4,3,7,5,4,3,1,3,3,3,2,3,3,3,3,0,3,3,3,3,3,1,3,3,3
UR58,-0.200557954,-0.065849678,64.3%,4,1,3,UR187,UR9,UR42,UR376,UR325,UR1928,UR482,UR1767,UR979,UR62,UR839,UR498,UR1256,UR142,UR1216,UR687,UR1184,UR1750,UR1584,4,7,4,7,6,7,1,4,1,7,5,5,7,2,7,1,6,5,3,3,2,3,2,3,1,3,3,3,1,3,3,1,3,1,3,3,3,3
UR59,-0.195864943,-0.394491229,48.2%,7,4,3,UR163,UR1421,UR625,UR1364,UR1148,UR1606,UR913,UR1163,UR1027,UR1949,UR181,UR1634,UR1091,UR1667,UR1254,UR1131,UR238,UR719,UR1387,2,2,4,3,5,3,7,1,3,3,3,0,3,1,3,1,3,1,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3
UR60,-0.347844006,-0.083471896,60.6%,7,4,3,UR850,UR1418,UR1488,UR579,UR785,UR1632,UR838,UR393,UR874,UR55,UR1011,UR1404,UR1626,UR1341,UR109,UR495,UR1494,UR1165,UR1738,5,7,5,1,6,3,2,7,7,5,3,7,1,0,2,4,4,7,3,3,2,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,1,3
UR61,0.263336047,-0.313700811,56.7%,5,2,3,UR1402,UR363,UR120,UR1908,UR1963,UR1556,UR213,UR1330,UR1969,UR1675,UR463,UR1903,UR320,UR1888,UR1077,UR1840,UR1443,UR1641,UR1397,4,7,5,7,4,6,3,3,1,3,0,7,3,0,1,2,4,3,7,3,1,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2
UR62,-0.203755091,-0.086397856,60.9%,8,7,1,UR376,UR1750,UR58,UR1767,UR815,UR187,UR794,UR194,UR9,UR1292,UR914,UR979,UR42,UR482,UR898,UR1928,UR1184,UR1575,UR1084,7,5,1,4,4,4,4,3,7,4,6,1,4,1,5,7,6,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3
UR63,-0.267825172,-0.085989882,60.2%,7,4,3,UR1129,UR742,UR214,UR559,UR682,UR148,UR49,UR766,UR811,UR44,UR217,UR1513,UR751,UR843,UR583,UR262,UR240,UR293,UR1308,7,0,6,0,4,7,2,1,7,4,2,5,3,2,1,4,4,7,7,1,3,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,1,1
UR64,-0.081883016,-0.320824191,60.8%,5,2,3,UR297,UR1921,UR1219,UR693,UR257,UR1976,UR1529,UR1749,UR523,UR1000,UR1382,UR1101,UR781,UR1015,UR1044,UR1273,UR1149,UR1714,UR1651,3,4,5,6,5,6,3,7,4,3,7,7,1,0,1,4,2,2,7,3,3,3,3,3,3,3,1,3,3,1,1,3,3,3,3,3,3,0
UR65,0.226052118,-0.579082277,46.4%,3,0,3,UR1042,UR1728,UR349,UR1603,UR10,UR309,UR1837,UR1950,UR599,UR205,UR358,UR1775,UR823,UR88,UR322,UR934,UR480,UR486,UR1528,4,2,1,0,0,1,5,0,5,4,2,4,0,5,6,3,1,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
UR66,0.318084377,-0.107808046,49.1%,9,7,2,UR270,UR1086,UR1582,UR1371,UR1537,UR1673,UR802,UR1119,UR516,UR886,UR1979,UR941,UR1339,UR1449,UR1607,UR1478,UR1818,UR791,UR1880,0,2,7,1,1,4,1,1,3,1,2,0,4,3,4,0,6,1,7,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
