Deck ID,NMDS 1,NMDS 2,Neighbours average win rate,Games,Wins,Losses,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9,Neigh10,Neigh11,Neigh12,Neigh13,Neigh14,Neigh15,Neigh16,Neigh17,Neigh18,Neigh19,NeighWin1,NeighWin2,NeighWin3,NeighWin4,NeighWin5,NeighWin6,NeighWin7,NeighWin8,NeighWin9,NeighWin10,NeighWin11,NeighWin12,NeighWin13,NeighWin14,NeighWin15,NeighWin16,NeighWin17,NeighWin18,NeighWin19,Neigh Loss1,Neigh Loss2,Neigh Loss3,Neigh Loss4,Neigh Loss5,Neigh Loss6,Neigh Loss7,Neigh Loss8,Neigh Loss9,Neigh Loss10,Neigh Loss11,Neigh Loss12,Neigh Loss13,Neigh Loss14,Neigh Loss15,Neigh Loss16,Neigh Loss17,Neigh Loss18,Neigh Loss19
BG55,-0.218198953,-0.008948836,54.8%,3,0,3,BG668,BG1052,BG1931,BG428,BG719,BG1810,BG256,BG1988,BG1848,BG1813,BG862,BG1296,BG1900,BG615,BG1245,BG1108,BG1709,BG1389,BG1628,3,5,2,7,4,1,4,4,2,1,4,1,1,7,1,2,7,0,7,3,3,3,0,3,3,3,3,3,3,3,3,3,0,3,3,2,3,2
BG56,-0.219129419,-0.286409367,48.1%,5,2,3,BG988,BG1015,BG492,BG1418,BG1134,BG704,BG652,BG348,BG1726,BG514,BG150,BG645,BG1040,BG242,BG1078,BG1029,BG1234,BG1486,BG587,1,1,7,2,1,1,2,7,0,3,2,2,5,6,2,0,4,4,0,3,3,1,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3
BG57,0.081856555,-0.335201763,47.2%,6,3,3,BG1511,BG1119,BG81,BG504,BG1107,BG1318,BG660,BG345,BG938,BG671,BG1870,BG1865,BG1553,BG687,BG406,BG1725,BG1729,BG503,BG1893,5,0,5,1,1,0,1,0,7,3,1,2,7,1,1,1,3,3,5,3,3,3,3,3,3,3,3,2,3,3,3,0,3,3,3,3,3,3
BG58,0.345795166,-0.163647061,45.9%,4,1,3,BG1909,BG227,BG34,BG1476,BG1915,BG1850,BG381,BG792,BG1062,BG1836,BG340,BG74,BG699,BG956,BG674,BG333,BG1081,BG611,BG851,2,4,0,3,7,4,4,1,0,2,5,2,0,1,2,3,4,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BG59,-0.239049702,-0.109658805,53.0%,4,1,3,BG1248,BG1654,BG1025,BG1886,BG1074,BG11,BG496,BG214,BG257,BG709,BG1403,BG989,BG1342,BG1298,BG185,BG795,BG1671,BG1578,BG981,0,7,5,2,1,4,1,7,7,1,2,1,2,1,3,3,7,6,0,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,0,3,3
BG60,0.540549192,-0.065086133,53.5%,3,0,3,BG837,BG710,BG755,BG1787,BG965,BG1077,BG1680,BG1851,BG1590,BG1869,BG589,BG1562,BG1135,BG178,BG1004,BG879,BG1035,BG1419,BG1017,2,4,4,2,4,6,3,4,3,6,2,3,2,4,2,1,6,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
BG61,0.27176197,0.10886936,49.1%,3,0,3,BG807,BG249,BG233,BG292,BG1750,BG107,BG494,BG39,BG1277,BG1210,BG1982,BG1262,BG265,BG1975,BG1904,BG280,BG1599,BG188,BG427,3,3,4,3,3,7,3,1,3,1,0,7,4,2,4,2,1,0,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3
BG62,0.12676593,0.033447655,49.1%,8,5,3,BG1054,BG392,BG543,BG780,BG77,BG1548,BG303,BG431,BG1068,BG805,BG584,BG1150,BG1966,BG1002,BG512,BG1188,BG1624,BG1667,BG42,1,2,3,2,6,1,1,3,1,2,4,5,4,0,7,2,1,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
BG63,0.074632101,-0.105647793,57.1%,4,1,3,BG558,BG548,BG1979,BG1344,BG1379,BG946,BG835,BG1716,BG202,BG250,BG1723,BG676,BG1930,BG612,BG323,BG215,BG1916,BG45,BG1006,0,4,7,4,3,5,2,1,4,7,0,1,4,7,0,7,3,6,6,3,3,2,3,3,3,3,3,3,1,3,3,3,2,3,1,3,3,3
BG64,-0.265183862,-0.033511706,59.1%,8,5,3,BG647,BG1414,BG555,BG911,BG751,BG1276,BG264,BG1218,BG1649,BG1709,BG1813,BG196,BG936,BG256,BG1406,BG1038,BG1032,BG1052,BG223,5,4,3,3,4,0,4,6,7,7,1,7,2,4,5,1,4,5,4,3,3,3,3,3,3,3,3,2,2,3,1,3,3,3,3,3,3,3
