ID,NMDS1,NMDS2,Neighbours average win rate,Games,Wins,Losses,Neigh0,Neigh1,Neigh2,Neigh3,Neigh4,Neigh5,Neigh6,Neigh7,Neigh8,Neigh9
03759cc7fbda488d8d70f1e60b40572b/0,0.079412775,-0.068118319,0.53968254,9,7,2,684b2f46b83c4a17ae0d452b9d18a215/0,d94e990ed57449d4a5cb0e51c6e3363a/1,93f22c942335424b815418fe984aa85b/0,ee5350260d7a483e9abd1e605aebc3ce/0,8b32e7748743440cb9ba67ca75d49817/0,8d19d4bb18bb46cdae9c91ad4660a950/0,0ce720fb8c5e4f6b86b4d92c7a1e5e49/0,608cf9a1a8794047aa15b59c3678c546/0,e2ebd36bb16644bea4af483a7da9165d/0,fcda44cbf3034a8eadb75cf1d39c98a9/0
03aff44ab07f4503917606c6e1470fbb/0,0.150978022,0.208028881,0.552238806,4,1,3,5d92e5c5202340af9c7bc9e0c102ab2d/0,e3cb9086c1ac480c806d168d7b30e41b/0,bc1cc92f760548fb9c5d27b209f7b85e/0,3db3df20ab39424bb997f099c0b5f15c/0,65b5ef25aec84454b1f71df1e601ccb4/0,5274ae74612b492cab9f803f57eb5fde/0,b5fb453e4cd140b6b5b80d5ae2b1766d/0,c90e6e93740645c3aab33de6868c6bfd/0,c784498c6ba348e995b371f4a3e5d71b/0,ba432df25d5b4bc49babff3dddeb3d1f/0
040feed5e77049bdbbd73e1e8a53ca17/0,0.33531953,-0.123670774,0.444444444,8,5,3,321faa7383a34b3496d879b40ed34209/0,31103a3049144fb6a014e672b8b4c23e/0,21cdb9b2f7ad4affa9b8a2258262cc78/0,1dc51a6262da4739ab15ccdc514b766a/0,db6e7dfdd58e419799a89241994211e0/0,41e38237dc5644fe9e1c7d6884de18c2/0,15ad411e56b649718be805919460d74f/0,2088f820700442daa95e90a968043a70/0,9b6bad0db0cd41c98798c8ac48d67417/0,a99fa9a03da4409fa406cf0bf93dd1fc/0
043dc5144a064e1b8c4ce01297369891/0,-0.047919738,-0.010818994,0.594202899,4,1,3,19bdd422cda5403cae68af7b87eac100/0,ce77b4d76f8f4f11967e84bb49521651/0,16bee54adbcb453f8280422014041f04/0,e9baaab1507841fb93ed2eb30325c951/0,014e82e1d9db4f91b0c75079cbea6750/0,36fe824419484a98be6dadd7119d11f9/1,27c9f70c24c8478082b90d8c099cecde/0,9d1f161926e944818b467eec4ec7868e/0,be084ef5cb78469da44692030dc4e5e0/0,d4b1976b4cb64fee9e892208fc0a25ad/0
04981451685640c69a1fc59f53a5b181/0,0.044148881,-0.152508534,0.567164179,3,0,3,a007fd34fd3e4d53849655988a026820/0,bc2cc23863354b4b830556a87646315c/0,94a0b77cded34f0cb4c300c77e9ef613/1,1de6d9d236f74f868f23f7b0da411250/0,86163a349eb8403191a92eacc0a64172/0,b5535660ba3b4438b361dd23e3def3f7/0,98e4f2f711c54972adc2a4770b452735/0,5babdcdfa77f4cabafb987b6bbaef832/0,e3e0524eaef14487ac41332348fe88f9/0,05ff04f9ab2142eaba80502ac8a4ce4a/0
050a4accab8d45da97b651a36efd9ada/0,-0.176198606,0.055334866,0.746835443,6,3,3,6ebcf4d91c0841708c5b495d7afc183e/0,f5291befd3f84db8af696f57d85ca911/0,4b8d68f1f45f4f9cb37a2bfcc0ff2c87/0,9f85cbe1a17e4978b96be98bac6a0225/0,0549a795f6dd47238ab3345a06b364e1/0,cc09519607c7459199d6a36a83c40cd4/0,2e3bf9707c4a4a9bad780ad946f2579f/0,232f82579afa4d7d861e58f6a563dd6e/0,62ea8dad14fe4ea983fc1c7d267ec3f9/0,c232fceb539e4a509b861d024ba632a2/0
054102e24ff64148b55ea47ee0c0756e/0,-0.030595815,-0.340575482,0.651515152,6,3,3,f8d437af9bd3472d939035142c0b572f/0,b785bd89c6054e45a31552ed52d2154c/0,5f81c03fc86641d19a31a4cd3a63446a/1,dcf5ea1a3657461091dc68e429c411d3/0,efc55fcb17354e8f999b603e57966c11/0,dc257c882c6a46558fae358b40f9a96b/0,744ca989fce2402c9788280f2f1b6a89/0,893954cd55084f1bb37a7a222777ef60/0,5fd6f3850fc84438a02cc1cfb9318b5d/0,e28803d7b4a04a6bb0a8b09bcef15bb5/0
0549a795f6dd47238ab3345a06b364e1/0,-0.167657061,0.080290857,0.743243243,5,2,3,8334468a0a3a4f4da70c7c0280277e80/0,4b8d68f1f45f4f9cb37a2bfcc0ff2c87/0,050a4accab8d45da97b651a36efd9ada/0,bf05290ca32d43a7918ebc778411c14c/0,70f494ba0a5e46ac87704dd23807275d/0,2e3bf9707c4a4a9bad780ad946f2579f/0,6ebcf4d91c0841708c5b495d7afc183e/0,980eb6fc28ef4281bd224cc4da78f78b/0,9f85cbe1a17e4978b96be98bac6a0225/0,170e8393a511464c8eb11dada7585388/0
058a8386189046c084808628785a0058/0,-0.009489394,-0.203922263,0.482758621,8,5,3,b67376bc16824f3b805987b11cdc82f7/0,c5ef7c07ffd04735bb864fa2db34f5da/0,0dce105d13b5423094cd9cf5d39b061f/0,e9dadaa6936844b68bee25f074ab7bdf/0,adbe5a00571b40b89b083cde8b6c69c0/0,02139e1e15444476abc6dc240faa47fb/0,963f91c833274e31ac73d4d4ce222603/0,d2365061ce1c49289532ec8e7c973b29/0,8ffdfe3758af4e708f617aabd13fb97f/0,e3e0524eaef14487ac41332348fe88f9/0
05ff04f9ab2142eaba80502ac8a4ce4a/0,0.045868663,-0.190092868,0.5,6,3,3,5babdcdfa77f4cabafb987b6bbaef832/0,e3e0524eaef14487ac41332348fe88f9/0,bc2cc23863354b4b830556a87646315c/0,02139e1e15444476abc6dc240faa47fb/0,fe720c860cc845c09ec629a808d8a918/0,b1403ab3a7a34445a3cf78f409c0457d/0,04981451685640c69a1fc59f53a5b181/0,418762cd9cfe4a108fbf975c82ea0e2e/0,a007fd34fd3e4d53849655988a026820/0,b67376bc16824f3b805987b11cdc82f7/0
062351e3dd0d40dfa8c30faa33eeed1e/0,0.065097922,-0.323799783,0.638888889,9,6,3,2f64949ad4614199983f2b36922929a0/0,a0c7de68480e45a5b43aa36f91a6b90c/0,ab1722f295fe46e18d45e7bbdabd0c83/1,42b2116a8b64435ba7f36cee35205626/0,893954cd55084f1bb37a7a222777ef60/0,b35e443a30bb464894c94937710760dd/0,c1e9d3936eae436ebb3157ba4bdc8f01/0,33a88f922b9349c792d833dea9ac35ec/0,8cbcf61360e34c8c837b80b823953eb5/0,a5c230e590a34f02a66eb05b47773903/0
06d9fbce97e0465f82983fcc99e0bf92/0,0.237447866,-0.057112129,0.567164179,9,7,2,453efcdb035b428da2eec9a3c4a5b9c8/0,59256b93c06e40629bd98f5a22736795/0,54baa51a621a4757afff189e70381b06/0,1b5ddbd9f8314bb7b02889e95b6b1a4f/0,a2d86df4aaa8454d9930d09652f323ec/0,e35480fc30f442758a37212be008fd11/0,025b1f7ba32040bf8b496d327c3cdb48/0,0b523c5a8c044e6a93b924f271cea3f4/0,64979f22bd344b73867f2ac20d74d5e2/0,d516a652942a484c863e69e1c951ded5/0
06e760a0d64d465895e6207c29fd9c71/0,-0.021504836,0.333058842,0.553846154,4,1,3,2867d541aeb54269982d8d231415501c/0,ea7ec2a58d2942e58bddfd4b6f9dc3bd/0,ed36e7ffebd5445b88daf33668899887/0,1bef412495e04a7db579621ade4bcb19/0,9a8938c90ce94cdc98bd6b2b4bb88adf/0,baacff5103a64a3f950e84e810578783/0,43093c8b2b324c469fd18cb41dbcc8be/0,3e85e4da6cb342da917fc08045005c33/0,abfe162947d843659f56ab74a8c11d96/0,eb65bce959b247b6b29fa25a6071cb0f/0
07002c7fbbf44ea8bdb2c9c85cd5e2ae/0,0.199698336,0.357163409,0.6,5,2,3,1bfde7682ae44d0fa55769bfa2a561be/0,07a3af10d2e447d7b09f005b1796cd26/0,2a3a3a33aa8440f48061c118dee281a7/0,1cfa68ff9f73446eb00f298c8ea42210/0,cd50fb7a17d04da5b65478f109c804a2/0,33978f336a4143ad8cd094bdb98614d9/0,ed89ef013b214c7fa36b63e30e5484cc/0,554981cc586c40ebb5a16cb97674408d/0,cb99194d4f374614bea2faa4becec3e0/0,30a04b22e546418596ec9ab547c2023c/0
